paper,setting,run_name,metric,published,source,ours,diff,status
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_qffl_rflself_s10,std_pct,6.81,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_qffl_rflself_s20,acc_normal_pct,59.02,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_qffl_rflself_s20,acc_selfish_pct,59.5,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_qffl_rflself_s20,std_pct,6.68,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_qffl_rflself_s30,acc_normal_pct,57.97,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_qffl_rflself_s30,acc_selfish_pct,59.33,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_qffl_rflself_s30,std_pct,7.75,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 0% selfish,fairrfl_cifar10_fairrfl_s0,acc_normal_pct,59.64,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 0% selfish,fairrfl_cifar10_fairrfl_s0,std_pct,6.73,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_fairrfl_s10,acc_normal_pct,59.72,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_fairrfl_s10,acc_selfish_pct,53.2,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 10% selfish,fairrfl_cifar10_fairrfl_s10,std_pct,6.67,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_fairrfl_s20,acc_normal_pct,59.58,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_fairrfl_s20,acc_selfish_pct,60.3,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 20% selfish,fairrfl_cifar10_fairrfl_s20,std_pct,6.62,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_fairrfl_s30,acc_normal_pct,59.2,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_fairrfl_s30,acc_selfish_pct,60.4,Table III p.329,,,NOT RUN
FairRFL,CIFAR-10 50 clients phi=0.7 30% selfish,fairrfl_cifar10_fairrfl_s30,std_pct,6.52,Table III p.329,,,NOT RUN
